ubigeo_departamento,departamento,ubigeo_provincia,provincia,ubigeo_distrito,distrito,total_asistentes,pct_total_asistentes,total_ausentes,pct_total_ausentes,electores_habiles,date_upd,hour_upd,pct_avance
020000,ANCASH,020900,MARISCAL LUZURIAGA,020903,LUCMA,1649,73.126,606,26.874,2255,2021-04-19,11:49,97.708
020000,ANCASH,020900,MARISCAL LUZURIAGA,020907,MUSGA,554,72.991,205,27.009,759,2021-04-19,11:49,97.708
020000,ANCASH,020900,MARISCAL LUZURIAGA,020901,PISCOBAMBA,1530,69.831,661,30.169,2191,2021-04-19,11:49,97.708
020000,ANCASH,022000,OCROS,022001,ACAS,122,37.888,200,62.112,322,2021-04-19,11:49,97.708
020000,ANCASH,022000,OCROS,022002,CAJAMARQUILLA,83,56.849,63,43.151,146,2021-04-19,11:49,97.708
020000,ANCASH,022000,OCROS,022003,CARHUAPAMPA,242,59.606,164,40.394,406,2021-04-19,11:49,97.708
020000,ANCASH,022000,OCROS,022004,COCHAS,662,60.623,430,39.377,1092,2021-04-19,11:49,97.708
020000,ANCASH,022000,OCROS,022005,CONGAS,443,53.118,391,46.882,834,2021-04-19,11:49,97.708
020000,ANCASH,022000,OCROS,022006,LLIPA,117,56.25,91,43.75,208,2021-04-19,11:49,97.708
020000,ANCASH,022000,OCROS,022007,OCROS,530,56.383,410,43.617,940,2021-04-19,11:49,97.708
020000,ANCASH,022000,OCROS,022008,SAN CRISTOBAL DE RAJAN,196,41.263,279,58.737,475,2021-04-19,11:49,97.708
020000,ANCASH,022000,OCROS,022009,SAN PEDRO,353,47.962,383,52.038,736,2021-04-19,11:49,97.708
020000,ANCASH,022000,OCROS,022010,SANTIAGO DE CHILCAS,193,62.46,116,37.54,309,2021-04-19,11:49,97.708
020000,ANCASH,021000,PALLASCA,021002,BOLOGNESI,449,54.957,368,45.043,817,2021-04-19,11:49,97.708
020000,ANCASH,021000,PALLASCA,021001,CABANA,1183,60.142,784,39.858,1967,2021-04-19,11:49,97.708
020000,ANCASH,021000,PALLASCA,021003,CONCHUCOS,2695,50.696,2621,49.304,5316,2021-04-19,11:49,97.708
020000,ANCASH,021000,PALLASCA,021004,HUACASCHUQUE,273,64.235,152,35.765,425,2021-04-19,11:49,97.708
