ubigeo,departamento,provincia,distrito,ELECTORES_HABIL,TOT_CIUDADANOS_VOTARON,POR_CIUDADANOS_VOTARON,POR_ACTAS_CONTABILIZADAS,POR_ACTAS_PROCESADAS,ACTAS_PROCESADAS,POR_PROCESAR,CONTABILIZA,POR_POR_PROCESAR,N_CANDIDATOS,date_upd,hour_upd,pct_avance
200703,PIURA,TALARA,LA BREA,1532,1209,78.916,100,100,6,0,6,0,0,2021-04-16,17:51,95.5667
200704,PIURA,TALARA,LOBITOS,2016,1656,82.143,87.5,100,8,0,7,0,0,2021-04-16,17:51,95.5667
200705,PIURA,TALARA,LOS ORGANOS,5217,4199,80.487,94.737,100,19,0,18,0,0,2021-04-16,17:51,95.5667
200706,PIURA,TALARA,MANCORA,6818,5095,74.729,95.833,100,24,0,23,0,0,2021-04-16,17:51,95.5667
200801,PIURA,SECHURA,SECHURA,8836,6807,77.037,93.75,100,32,0,30,0,0,2021-04-16,17:51,95.5667
200803,PIURA,SECHURA,BERNAL,4956,3798,76.634,100,100,18,0,18,0,0,2021-04-16,17:51,95.5667
200804,PIURA,SECHURA,CRISTO NOS VALGA,2251,1753,77.876,100,100,8,0,8,0,0,2021-04-16,17:51,95.5667
200805,PIURA,SECHURA,VICE,3796,3053,80.427,100,100,13,0,13,0,0,2021-04-16,17:51,95.5667
200806,PIURA,SECHURA,RINCONADA-LLICUAR,3748,2929,78.148,100,100,14,0,14,0,0,2021-04-16,17:51,95.5667
210101,PUNO,PUNO,PUNO,59255,39449,66.575,100,100,203,0,203,0,0,2021-04-16,17:51,95.5667
210102,PUNO,PUNO,ACORA,3778,2874,76.072,100,100,13,0,13,0,0,2021-04-16,17:51,95.5667
210103,PUNO,PUNO,AMANTANI,1831,1245,67.996,100,100,7,0,7,0,0,2021-04-16,17:51,95.5667
210104,PUNO,PUNO,ATUNCOLLA,10803,6861,63.51,100,100,37,0,37,0,0,2021-04-16,17:51,95.5667
210105,PUNO,PUNO,CAPACHICA,18417,11958,64.929,100,100,62,0,62,0,0,2021-04-16,17:51,95.5667
210106,PUNO,PUNO,CHUCUITO,2903,1987,68.446,100,100,10,0,10,0,0,2021-04-16,17:51,95.5667
210201,PUNO,AZANGARO,AZANGARO,10677,6377,59.727,92.308,100,39,0,36,0,0,2021-04-16,17:51,95.5667
210202,PUNO,AZANGARO,ACHAYA,3137,2084,66.433,100,100,11,0,11,0,0,2021-04-16,17:51,95.5667
210203,PUNO,AZANGARO,ARAPA,1765,1131,64.079,85.714,100,7,0,6,0,0,2021-04-16,17:51,95.5667
210204,PUNO,AZANGARO,ASILLO,692,537,77.601,100,100,3,0,3,0,0,2021-04-16,17:51,95.5667
210205,PUNO,AZANGARO,CAMINACA,2627,1647,62.695,100,100,9,0,9,0,0,2021-04-16,17:51,95.5667
210206,PUNO,AZANGARO,CHUPA,2032,1282,63.091,100,100,7,0,7,0,0,2021-04-16,17:51,95.5667
210301,PUNO,CARABAYA,MACUSANI,11520,8907,77.318,100,100,39,0,39,0,0,2021-04-16,17:51,95.5667
210303,PUNO,CARABAYA,AYAPATA,4766,3270,68.611,100,100,18,0,18,0,0,2021-04-16,17:51,95.5667
